vendor,model,cpu,memory,disk,bandwidth,traffic,renewalCycle,renewalAmount,currency
SadIDC,Us-Phoenix Lv1,1C,1G,10G,5000M,1T,月付,9.90,CNY 人民币
SadIDC,Us-Phoenix Lv2,2C,2G,10G,5000M,2T,月付,15.99,CNY 人民币
SadIDC,Us-Phoenix Lv3,2C,4G,15G,10000M,4T,月付,29.99,CNY 人民币
SadIDC,Us-Phoenix Lv4,4C,4G,20G,10000M,8T,月付,48.99,CNY 人民币
SadIDC,Us-Eagle Lv2,2C,2G,20G,1000M,10T,月付,19.99,CNY 人民币
SadIDC,Us-Eagle Lv3,2C,4G,30G,1000M,15T,月付,34.99,CNY 人民币
SadIDC,Us-Eagle Lv4,4C,4G,30G,1000M,30T,月付,58.99,CNY 人民币
SadIDC,Us-Eagle Lv5,8C,8G,40G,1000M,30T,月付,78.99,CNY 人民币
SadIDC,Tokyo-Elaina Lv1,1C,1G,10G,500M,512G,月付,13.99,CNY 人民币
SadIDC,Tokyo-Elaina Lv2,2C,2G,20G,500M,1T,月付,21.99,CNY 人民币
SadIDC,Tokyo-Elaina Lv3,2C,4G,30G,1000M,2T,月付,29.99,CNY 人民币
SadIDC,Tokyo-Elaina Lv4,4C,4G,40G,1000M,4T,月付,49.99,CNY 人民币
SadIDC,香港Glow-Lv2,4C,4G,60G,25M,不限流量,月付,25.00,CNY 人民币
SadIDC,HK.Ares-Lv1,2C,2G,30G,150M,1T,月付,35.00,CNY 人民币
SadIDC,HK.Ares-Lv2,4C,4G,50G,200M,1.5T,月付,65.00,CNY 人民币
SadIDC,HK.Ares-Lv3,8C,8G,100G,250M,2T,月付,100.00,CNY 人民币
SadIDC,HK.Ares-Lv4,16C,16G,200G,500M,4T,月付,180.00,CNY 人民币
SadIDC,香港happy微站群A,2C,2G,40G,20M,不限流量,月付,45.00,CNY 人民币
SadIDC,香港happy微站群B,4C,4G,50G,25M,不限流量,月付,80.00,CNY 人民币
SadIDC,德阳电信 - 季付活动款1,8C,8G,100G,30M,不限流量,季付,239.00,CNY 人民币
SadIDC,德阳电信 - 季付活动款2,16C,16G,120G,50M,不限流量,季付,349.00,CNY 人民币
