vendor,model,cpu,memory,disk,bandwidth,traffic,renewalCycle,renewalAmount,currency
GoMami,Peak X5 Air,4C,8G,60G,2G,2T,月付,99,USD 美元
GoMami,Peak X5 Mini,2C,4G,40G,2G,1T,月付,59,USD 美元
GoMami,Peak X5 Pro,6C,16G,80G,5G,5T,月付,199,USD 美元
GoMami,Plus Air,4C,8G,60G,1G,2T,月付,79,USD 美元
GoMami,Plus Mini,2C,4G,40G,1G,1T,月付,39,USD 美元
GoMami,Plus Pro,8C,16G,80G,3G,5T,月付,169,USD 美元
Evoxt,Standard VM-0.5,1C,512M,5G,1G,500G,月付,2.99,USD 美元
Evoxt,Standard VM-0.75,1C,1G,10G,1G,750G,月付,4.99,USD 美元
Evoxt,Standard VM-1,1C,2G,20G,1G,1T,月付,5.99,USD 美元
Evoxt,Standard VM-1.5,2C,2G,20G,1G,1500G,月付,6.95,USD 美元
Evoxt,Standard VM-2,2C,4G,30G,1G,2T,月付,11.99,USD 美元
Evoxt,Standard VM-3,4C,4G,30G,1G,3T,月付,14.99,USD 美元
Evoxt,Standard VM-4,4C,8G,60G,1G,4T,月付,23.99,USD 美元
Evoxt,Standard VM-6,8C,8G,60G,1G,5T,月付,29.99,USD 美元
Evoxt,Standard VM-8,8C,16G,80G,1G,6T,月付,47.99,USD 美元
Evoxt,Standard VM-12,16C,16G,80G,1G,8T,月付,60.95,USD 美元
Evoxt,Standard VM-16,16C,32G,100G,1G,10T,月付,95.99,USD 美元
Evoxt,Premium VM-0.5,1C,512M,5G,1G,250G,月付,2.99,USD 美元
Evoxt,Premium VM-0.75,1C,1G,10G,1G,250G,月付,4.99,USD 美元
Evoxt,Premium VM-1,1C,2G,20G,1G,500G,月付,5.99,USD 美元
Evoxt,Premium VM-1.5,2C,2G,20G,1G,500G,月付,6.95,USD 美元
Evoxt,Premium VM-2,2C,4G,30G,1G,1T,月付,11.99,USD 美元
Evoxt,Premium VM-3,4C,4G,30G,1G,1T,月付,14.99,USD 美元
Evoxt,Premium VM-4,4C,8G,60G,1G,2T,月付,23.99,USD 美元
Evoxt,Premium VM-6,8C,8G,60G,1G,2T,月付,29.99,USD 美元
Evoxt,Premium VM-8,8C,16G,80G,1G,3T,月付,47.99,USD 美元
Evoxt,Premium VM-12,16C,16G,80G,1G,3T,月付,60.95,USD 美元
Evoxt,Premium VM-16,16C,32G,100G,1G,5T,月付,95.99,USD 美元
Evoxt,Premium Plus VM-0.5,1C,512M,5G,1G,150G,月付,3.49,USD 美元
Evoxt,Premium Plus VM-0.75,1C,1G,10G,1G,250G,月付,4.99,USD 美元
Evoxt,Premium Plus VM-1,1C,2G,20G,1G,300G,月付,5.99,USD 美元
Evoxt,Premium Plus VM-1.5,2C,2G,20G,1G,300G,月付,6.95,USD 美元
Evoxt,Premium Plus VM-2,2C,4G,30G,1G,600G,月付,11.99,USD 美元
Evoxt,Premium Plus VM-3,4C,4G,30G,1G,700G,月付,14.99,USD 美元
Evoxt,Premium Plus VM-4,4C,8G,60G,1G,1T,月付,23.99,USD 美元
Evoxt,Premium Plus VM-6,8C,8G,60G,1G,1250G,月付,29.99,USD 美元
Evoxt,Premium Plus VM-8,8C,16G,80G,1G,2T,月付,47.99,USD 美元
Evoxt,Premium Plus VM-12,16C,16G,80G,1G,2.5T,月付,60.95,USD 美元
Evoxt,Premium Plus VM-16,16C,32G,100G,1G,4T,月付,95.99,USD 美元
AndNode,香港轻量-Z型,2C,2G,50G,20M,500G,月付,16,CNY 人民币
AndNode,香港轻量-Y型,2C,4G,50G,30M,500G,月付,26,CNY 人民币
AndNode,香港轻量-X型,4C,4G,50G,40M,500G,月付,36,CNY 人民币
AndNode,香港轻量-W型,4C,8G,60G,40M,500G,月付,56,CNY 人民币
AndNode,香港轻量-V型,8C,8G,70G,50M,500G,月付,76,CNY 人民币
AndNode,香港轻量-U型,10C,10G,80G,60M,500G,月付,96,CNY 人民币
Geelinx,HK.HKG.INTL.Lion,4C,8G,100G,2G,4T,月付,12.9,EUR 欧元
Geelinx,HK.HKG.INTL.Harbour,6C,12G,150G,2G,6T,月付,16.9,EUR 欧元
Geelinx,HK.HKG.INTL.Peak,8C,16G,200G,2G,8T,月付,19.9,EUR 欧元
华纳云,香港CN2云服务器 1核1G,1C,1G,50G,2M,不限,年付,432,CNY 人民币
华纳云,香港CN2云服务器 2核2G,2C,2G,50G,2M,不限,月付,100.8,CNY 人民币
华纳云,香港CN2云服务器 2核4G,2C,4G,50G,5M,不限,月付,190.8,CNY 人民币
华纳云,香港CN2云服务器 4核8G,4C,8G,50G,5M,不限,月付,292.8,CNY 人民币
搬瓦工,20G KVM · PROMO,2C,1024M,20000G,1000M,1000T,年付,49.99,USD 美元
搬瓦工,40G KVM · PROMO,3C,2048M,40000G,1000M,2000T,半年付,52.99,USD 美元
搬瓦工,40G KVM · PROMO,3C,2048M,40000G,1000M,2000T,年付,99.99,USD 美元
搬瓦工,80G KVM · PROMO,4C,4096M,80000G,1000M,3000T,月付,19.99,USD 美元
搬瓦工,80G KVM · PROMO,4C,4096M,80000G,1000M,3000T,季付,59.99,USD 美元
搬瓦工,80G KVM · PROMO,4C,4096M,80000G,1000M,3000T,半年付,107.99,USD 美元
搬瓦工,80G KVM · PROMO,4C,4096M,80000G,1000M,3000T,年付,199.99,USD 美元
搬瓦工,160G KVM · PROMO,5C,8192M,160000G,1000M,4000T,月付,39.99,USD 美元
搬瓦工,160G KVM · PROMO,5C,8192M,160000G,1000M,4000T,季付,112.99,USD 美元
搬瓦工,160G KVM · PROMO,5C,8192M,160000G,1000M,4000T,半年付,213.99,USD 美元
搬瓦工,160G KVM · PROMO,5C,8192M,160000G,1000M,4000T,年付,399.99,USD 美元
搬瓦工,320G KVM · PROMO,6C,16384M,320000G,1000M,5000T,月付,79.99,USD 美元
搬瓦工,320G KVM · PROMO,6C,16384M,320000G,1000M,5000T,季付,227.99,USD 美元
搬瓦工,320G KVM · PROMO,6C,16384M,320000G,1000M,5000T,半年付,432.99,USD 美元
搬瓦工,320G KVM · PROMO,6C,16384M,320000G,1000M,5000T,年付,799.99,USD 美元
搬瓦工,480G KVM · PROMO,7C,24576M,480000G,1000M,6000T,月付,119.99,USD 美元
搬瓦工,480G KVM · PROMO,7C,24576M,480000G,1000M,6000T,季付,341.99,USD 美元
搬瓦工,480G KVM · PROMO,7C,24576M,480000G,1000M,6000T,半年付,649.49,USD 美元
搬瓦工,480G KVM · PROMO,7C,24576M,480000G,1000M,6000T,年付,1199.99,USD 美元
搬瓦工,SPECIAL 20G KVM PROMO V5 · CN2 GIA ECOMMERCE,2C,1024M,20000G,2500M,1000T,季付,49.99,USD 美元
搬瓦工,SPECIAL 20G KVM PROMO V5 · CN2 GIA ECOMMERCE,2C,1024M,20000G,2500M,1000T,半年付,89.99,USD 美元
搬瓦工,SPECIAL 20G KVM PROMO V5 · CN2 GIA ECOMMERCE,2C,1024M,20000G,2500M,1000T,年付,169.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · CN2 GIA ECOMMERCE,3C,2048M,40000G,2500M,2000T,季付,89.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · CN2 GIA ECOMMERCE,3C,2048M,40000G,2500M,2000T,半年付,169.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · CN2 GIA ECOMMERCE,3C,2048M,40000G,2500M,2000T,年付,299.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · CN2 GIA ECOMMERCE,4C,4096M,80000G,2500M,3000T,月付,56.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · CN2 GIA ECOMMERCE,4C,4096M,80000G,2500M,3000T,季付,149.99,USD 美元
